index,date,boxcell,momsp,mompid,dadsp,dadpid,fullcross,progenyid,flowers,anthers,line,viable,inviable,tot,notes
218,2020-03-03,6,kaalae,3587A,nuttallii ,903 12 A,kaal 3587A x nutt 903 12A,11,3,20,435,177,23,200,
219,2020-03-12,3,kaalae,3587A,nuttallii,903 12A,kaal 3587A x nutt 903 12A,6,3,20,495,184,16,200,JP moved dadpid out of dadsp
220,2020-03-29,6,kaalae,3587A,perlmanii,12917,kaal 3587A x perl,3,3,20,643,142,58,200,
221,2021-02-24,1,kaalae,3587A,perlmanii,12917,kaal 3587A x perl,16,5,20,971,35,165,200,
222,2021-03-09,3,kaalae,3587A,perlmanii,12917,kaal 3587A x perl,11,4,20,974,63,137,200,
223,2021-03-12,1,kaalae,3587A,perlmanii,12917,kaal 3587A x perl,4,5,20,975,82,118,200,
224,2021-03-12,1,kaalae,3587A,perlmanii,12917,kaal 3587A x perl,9,5,20,976,164,36,200,
225,2021-01-26,1,kaalae,3587A,perlmanii,12917,kaal 3587A x perl,12,5,20,980,132,68,200,
226,2020-07-19,1,kaalae,3587A,perlmanii,12917,kaal 3787A x perl ,13,3,20,941,85,115,200,
227,2020-02-02,10,kaalae ,881-2 S5,attenuata,1394-7,kaal 881-2 S5 x atten,14,3,20,222,95,105,200,
228,2020-03-06,3,kaalae,881-2 S5,attenuata,1394-7,kaal 881-2 S5 x atten,19,4,20,462,54,146,200,
229,2020-03-12,7,kaalae,881-2 S5,attenuata,,kaal 881-2 S5 x atten,15,7,20,499,36,164,200,JP no dadpid
230,2020-03-12,8,kaalae,881-2 S5,attenuata,,kaal 881-2 S5 x atten,4,3,20,500,28,172,200,JP no dadpid
231,2020-02-22,5,kaalae ,881-2 S5,attenuata,1394-7,kaal 881-2 S5 x atten ,11,5,20,361,71,129,200,
232,2020-02-05,8,kaalae ,881-2 S5,nuttallii ,903-12A,kaal 881-2 S5 x nutt 903 12A,8,6,20,245,189,11,200,
233,2020-02-05,9,kaalae ,881-2 S5,nuttallii ,903-12A,kaal 881-2 S5 x nutt 903 12A,9,3,20,246,197,3,200,
234,2020-09-08,1,kaalae,881-2 S5,nuttallii,903 12A,kaal 881-2 S5 x nutt 903 12A,7,5,20,958,121,79,200,957 deleted
235,2020-01-05,2,kaalae ,881-2 S5,nuttallii ,903 12A,kaal 881-2 S5 x nutt 903 12A ,13,3,20,142,195,5,200,F1
236,2020-02-26,12,kaalae ,881-2 S5,nuttallii ,903-12A,kaal 881-2 S5 x nutt 903 12A ,2,5,20,400,78,122,200,
237,2020-04-30,3,kaalae,881-25-5,obovata,897-8,kaal 881-2 S5 x obov 897-8,6,3,20,773,38,162,200,
238,2020-05-21,4,kaalae,881-2 S5,obovata ,897-8,kaal 881-2 S5 x obov 897-8,8,5,20,841,32,168,200,
239,2020-06-09,4,kaalae,881-2 S5,obovata,897-8,kaal 881-2 S5 x obov 897-8,2,5,20,869,10,190,200,
240,2020-06-22,4,kaalae,881-2 S5,obovata,897-8,kaal 881-2 S5 x obov 897-8,1,5,,881,19,181,200,JP no anthers
241,2020-07-16,4,kaalae,881-2 S5 ,obovata,897-8,kaal 881-2 S5 x obov 897-8,3,7,20,939,7,193,200,
242,2020-03-23,8,kaalae,881-2 S5,perlmanii,12917,kaal 881-2 S5 x perl,5,4,20,583,156,44,200,
243,2020-03-29,2,kaalae,881-2 S5,perlmanii,,kaal 881-2 S5 x perl,10,3,20,639,166,34,200,JP no dadpid
244,2020-04-11,1,kaalae,881-2 S5,perlmanii,,kaal 881-2 S5 x perl,13,6,20,698,164,36,200,JP no dadpid
245,2020-05-21,3,kaalae,881-2 S5,perlmanii,12917,kaal 881-2 S5 x perl,4,4,20,840,111,89,200,
246,2020-04-14,1,kaalae,881-2 S5,perlmanii,,kaal 881-2 S5 x perl ,6,4,20,710,178,22,200,JP no dadpid
247,2020-01-05,3,kaalae ,881-2 S8,kauaiensis ,12074 1a,kaal 881-2 S8 x kaua 12074 1a,12,7,20,143,149,51,200,F1
248,2020-01-15,4,kaalae ,881-2 S8,kauaiensis ,12074 1a,kaal 881-2 S8 x kaua 12074 1a,9,5,20,161,194,6,200,
249,2020-01-20,4,kaalae ,881-2 S8,kauaiensis ,12074 1a,kaal 881-2 S8 x kaua 12074 1a,8,5,20,165,181,19,200,
250,2020-01-04,8,kaalae ,881-2 S8,kauaiensis ,12074 1a,kaal 881-2 S8 x kaua 12074 1a ,16,3,20,139,150,50,200,F1
251,2020-01-04,9,kaalae ,881-2 S8,kauaiensis ,12074 1a,kaal 881-2 S8 x kaua 12074 1a ,15,6,20,140,116,84,200,F1
252,2020-02-28,4,kaalae ,881-2 S8,nuttallii ,903-12A,kaal 881-2 S8 x nutt 903 12A,6,3,20,405,185,15,200,
253,2020-03-05,9,kaalae,881-2 S8,nuttallii ,903 12A,kaal 881-2 S8 x nutt 903 12A,5,4,20,453,192,8,200,
254,2020-03-12,15,kaalae,881-2 S8,nuttallii ,903 12A,kaal 881-2 S8 x nutt 903 12A,10,3,20,507,194,6,200,
255,2020-03-14,14,kaalae,881-2 S8,nuttallii ,903 12A,kaal 881-2 S8 x nutt 903 12A,2,4,20,521,182,18,200,
256,2020-03-15,8,kaalae,881-2 S8,nuttallii ,903 12a,kaal 881-2 S8 x nutt 903 12A,11,6,20,534,192,8,200,
257,2020-06-02,1,kaalae,881-2 S8,obovata,897-8,kaal 881-2 S8 x obov 897-8,3,5,20,862,36,164,200,
258,2020-06-02,2,kaalae,881-2 S8,obovata,897-8,kaal 881-2 S8 x obov 897-8,6,4,20,863,57,143,200,
259,2020-07-16,1,kaalae,881-2 S8 ,obovata,897-8,kaal 881-2 S8 x obov 897-8,5,8,20,936,3,197,200,
260,2020-07-16,2,kaalae,881-2 S8 ,obovata,897-8,kaal 881-2 S8 x obov 897-8,2,6,20,937,16,184,200,
261,2020-07-16,3,kaalae,881-2 S8 ,obovata,897-8,kaal 881-2 S8 x obov 897-8,7,6,20,938,49,151,200,
262,2020-01-31,6,kaalae ,881-2 S8,verticillata,880-1,kaal 881-2 S8 x vert 880-1,8,6,20,196,20,82,102,
263,2020-02-09,9,kaalae ,881-2 S8,verticillata,880-1,kaal 881-2 S8 x vert 880-1,16,5,20,273,40,160,200,
264,2020-02-20,3,kaalae ,881-2 S8 ,verticillata,880-1,kaal 881-2 S8 x vert 880-1,19,6,20,346,39,161,200,
265,2020-02-20,4,kaalae ,881-2 S8 ,verticillata,880-1,kaal 881-2 S8 x vert 880-1,7,4,20,347,30,98,128,
266,2020-02-13,3,kaalae ,881-2 S8,verticillata,880-1,kaal 881-2 S8 x vert 880-1 ,4,3,20,318,7,4,11,
267,2020-03-09,4,kaalae,892-3,perlmanii,12917,kaal 892-3 x perl,5,5,20,476,156,44,200,
268,2020-03-24,1,kaalae,892-3,perlmanii,12917,kaal 892-3 x perl,6,5,20,587,179,21,200,
269,2020-04-05,2,kaalae,892-3,perlmanii,12917,kaal 892-3 x perl,16,3,20,668,174,26,200,duplicate?
270,2020-12-28,1,kaalae,892-3,perlmanii,12917,kaal 892-3 x perl,13,5,20,968,137,63,200,
271,2020-02-18,4,kaalae ,892-3 ,perlmanii,12917,kaal 892-3 x perl ,10,5,,338,,,,cont? JP anthers was ------- JP total was 0
272,2020-06-24,1,kaalae,892-5,perlmanii,12917,kaal 892-5 x perl ,8,5,20,886,101,99,200,
273,2020-02-02,4,kaalae ,904-16,globosa ,906 21-1,kaal 904-16 x glob 906 21-1,7,3,20,216,146,54,200,
274,2020-02-12,15,kaalae,904-16,globosa ,906 21-1,kaal 904-16 x glob 906 21-1,2,5,20,315,125,75,200,anthers dehisced 
275,2020-02-09,12,kaalae ,904-16,globosa ,906-21-1,kaal 904-16 x glob 906 21-1 ,1,6,20,276,163,37,200,
276,2020-02-09,13,kaalae ,904-16,globosa ,906-21-1,kaal 904-16 x glob 906 21-1 ,9,4,20,277,154,46,200,
277,2020-02-09,14,kaalae ,904-16,globosa ,906-21-1,kaal 904-16 x glob 906 21-1 ,18,6,20,278,135,65,200,
278,2020-02-09,15,kaalae ,904-16,globosa ,906-21-1,kaal 904-16 x glob 906 21-1 ,17,6,20,279,152,48,200,
279,2020-04-02,3,kaalae,904-2,attenuata,1394-7,kaal 904-2 x atten,17,3,20,657,41,159,200,
280,2020-04-18,2,kaalae,904-2,attenuata,1394-7,kaal 904-2 x atten,4,3,20,741,75,125,200,
281,2020-05-25,4,kaalae,904-2,attenuata,1394-7,kaal 904-2 x atten,10,5,20,849,63,137,200,
282,2020-03-24,4,kaalae,904-2,attenuata,1394-7,kaal 904-2 x atten ,1,3,20,590,69,131,200,
283,2020-03-27,1,kaalae,904-2,attenuata,1394-7,kaal 904-2 x atten ,20,3,20,618,6,194,200,
284,2020-03-03,3,kaalae,904-2,perlmanii,12917,kaal 904-2 x perl,10,3,20,432,155,45,200,
285,2020-03-12,4,kaalae,904-2,perlmanii,,kaal 904-2 x perl,6,3,20,496,145,55,200,JP no dadpid
286,2020-03-14,10,kaalae,904-2,perlmanii,12917,kaal 904-2 x perl,9,4,20,517,166,34,200,
287,2020-02-07,9,kaalae ,904-2,perlmanii,12917,kaal 904-2 x perl ,4,4,20,261,145,55,200,
288,2020-02-16,3,kaalae ,904-2,perlmanii,12917,kaal 904-2 x perl ,3,3,20,325,183,17,200,
289,2020-02-09,4,kaalae ,904-3 x 904-2 #11 ,globosa ,844 F1-25,kaal 904-3 x 904-2 #11 x glob 844 F1-25,12,5,20,268,142,58,200,
290,2020-02-16,9,kaalae ,904-3 x 904-2 #11 ,globosa ,844 F1-25,kaal 904-3 x 904-2 #11 x glob 844 F1-25,13,5,20,331,152,48,200,
291,2020-02-18,7,kaalae,904-3 x 904-2 #11,globosa ,844 F1-25 ,kaal 904-3 x 904-2 #11 x glob 844 F1-25,19,5,20,341,170,30,200,
292,2020-02-22,7,kaalae ,904-3 x 904-2 #11,globosa ,844 F1-25,kaal 904-3 x 904-2 #11 x glob 844 F1-25,17,6,20,363,141,59,200,
293,2020-02-23,4,kaalae ,904-3 x 904-2 #11,globosa ,844 F1-25,kaal 904-3 x 904-2 #11 x glob 844 F1-25,16,3,20,369,27,173,200,
294,2020-02-07,3,kaalae ,904-3 x 904-2 #11,globosa ,844 F2 6,kaal 904-3 x 904-2 #11 x glob 844 F2 6,5,4,20,255,91,109,200,
295,2020-02-07,4,kaalae ,904-3 x 904-2 #11,globosa ,844 F2 6M,kaal 904-3 x 904-2 #11 x glob 844 F2 6,15,3,20,256,129,71,200,
296,2020-02-09,2,kaalae ,904-3 x 904-2 #11,globosa ,844 F2 6,kaal 904-3 x 904-2 #11 x glob 844 F2 6,11,3,20,266,43,157,200,
297,2020-02-13,7,kaalae ,904-3 x 904-2 #11,globosa ,844 F2 6M,kaal 904-3 x 904-2 #11 x glob 844 F2 6,13,4,20,322,114,86,200,
298,2020-02-16,7,kaalae ,904-3 x 904-2 #11,globosa ,844 F2 6,kaal 904-3 x 904-2 #11 x glob 844 F2 6,10,4,20,329,78,122,200,
299,2020-02-18,8,kaalae ,904-3 x 904-2 #11 ,globosa ,844 F-3-27,kaal 904-3 x 904-2 #11 x glob 844 F3-27,8,3,20,342,125,75,200,
300,2020-02-18,9,kaalae ,904-3 x 904-2 #11 ,globosa ,844 F-3-27,kaal 904-3 x 904-2 #11 x glob 844 F3-27,5,5,20,343,159,75,234,
301,2020-02-22,8,kaalae ,904-3 x 904-2 #11 F1,globosa ,844 F3-27,kaal 904-3 x 904-2 #11 x glob 844 F3-27,7,3,20,364,152,48,200,
302,2020-02-11,7,kaalae ,904-3 x 904-2 #11,globosa ,844 F3-27,kaal 904-3 x 904-2 #11 x glob 844 F3-27 ,9,3,20,292,78,122,200,
303,2020-02-23,3,kaalae ,904-3 x 904-2 #11 F1,globosa ,844 F3-27,kaal 904-3 x 904-2 #11 x glob 844 F3-27 ,1,6,20,368,132,68,200,
304,2020-03-19,4,kaalae,904-3 x 904-2 #11,verticillata,880-1,kaal 904-3 x 904-2 #11 x vert 880-1,5,4,20,563,20,180,200,
305,2020-03-19,5,kaalae,904-3 x 904-2 #11,verticillata,880-1,kaal 904-3 x 904-2 #11 x vert 880-1,6,4,20,564,3,14,17,
306,2020-03-19,6,kaalae,904-3 x 904-2 #11,verticillata,880-1,kaal 904-3 x 904-2 #11 x vert 880-1,3,4,20,565,8,17,25,
307,2020-03-26,8,kaalae,904-3 x 904-2 #11,verticillata,880-1,kaal 904-3 x 904-2 #11 x vert 880-1,1,4,20,615,29,171,200,
308,2020-04-17,6,kauaiensis,12074 3a,kaalae,3587-7,kaua 12074 3a x kaal 3587-7,11,7,20,735,65,135,200,
309,2020-04-19,1,kauaiensis,12074 3a,kaalae,3587-7,kaua 12074 3a x kaal 3587-7,10,4,20,743,178,22,200,JP flowers was 4 (3)
310,2020-04-30,11,kauaiensis,12074 3a,kaalae,3587-7,kaua 12074 3a x kaal 3587-7,6,3,20,781,171,29,200,
311,2020-05-04,3,kauaiensis,12074 3a,kaalae,3587-7,kaua 12074 3a x kaal 3587-7,4,3,20,787,82,118,200,
312,2020-05-08,5,kauaiensis,12074 3a,kaalae,3587-7,kaua 12074 3a x kaal 3587-7,9,4,20,798,173,27,200,
313,2021-07-02,1,kauaiensis,12074-7,membranacea,864 190-33,kaua 12074-7 x memb 864 190-33,2,5,20,1010,78,122,200,
314,2020-09-13,1,kauaiensis,12074-7,perlmanii,12917,kaua 12074-7 x perl,1,5,20,959,121,79,200,not yet entered 9/14/20
315,2020-12-25,1,kauaiensis,12074-7,perlmanii,12917,kaua 12074-7 x perl,3,5,20,967,182,18,200,
316,2020-10-12,1,kauaiensis,12074-7,perlmanii,12917,kaua 12074-7 x perl ,5,4,20,962,100,100,200,
317,2020-04-18,1,kauaiensis,kaua 2 x 24525-1 prog 10,kaalae,892-3,kaua 2 x 24525-1 #10 x kaal 892-3,8,4,20,740,198,2,200,
318,2020-04-26,6,kauaiensis,kaua 2 x 24525-1 prog 10,kaalae,892-3,kaua 2 x 24525-1 #10 x kaal 892-3,4,3,20,765,192,8,200,
319,2020-04-30,10,kauaiensis,kaua 2 x 24525-1 #10,kaalae,892-3,kaua 2 x 24525-1 #10 x kaal 892-3,2,4,20,780,165,35,200,
320,2020-05-08,6,kauaiensis,kaua 2 x 24525-1 #10,kaalae,892-3,kaua 2 x 24525-1 #10 x kaal 892-3,9,6,20,799,185,15,200,
321,2020-05-16,3,kauaiensis,kaua 2 x 24525-1 prog 10,kaalae ,892-3,kaua 2 x 24525-1 #10 x kaal 892-3,10,7,20,831,179,21,200,
322,2020-03-24,8,kauaiensis,24525-1 x 6a #6,membranacea,864 #2,kaua 24525-1 x 6a #6 x memb 864 #2,2,1,10,594,151,49,200,
323,2020-03-27,6,kauaiensis,24525-1 x 6a #6,membranacea,864 #2,kaua 24525-1 x 6a #6 x memb 864 #2,2,3,20,623,159,41,200,
324,2020-04-07,3,kauaiensis,24525-1 x 6a #6,membranacea,864 #2,kaua 24525-1 x 6a #6 x memb 864 #2,2,7,20,687,139,61,200,recollected
325,2020-05-08,3,kauaiensis,24525-1 x 6a #6,membranacea,864 #2,kaua 24525-1 x 6a #6 x memb 864 #2,7,4,15,796,86,114,200,thrips?
326,2020-05-12,1,kauaiensis,24525-1 x 6a #6,membranacea,864 #2,kaua 24525-1 x 6a #6 x memb 864 #2,4,4,20,805,109,81,190,
327,2020-05-16,2,kauaiensis,24525-1 x 6a #6,membranacea,864 #2,kaua 24525-1 x 6a #6 x memb 864 #2,5,3,20,830,72,128,200,
328,2020-05-20,1,kauaiensis,24525-1 x 6a #6 ,membranacea,864 #2,kaua 24525-1 x 6a #6 x memb 864 #2,1,5,20,834,130,70,200,
329,2020-05-20,2,kauaiensis,24525-1 x 6a #6 ,membranacea,864 #2,kaua 24525-1 x 6a #6 x memb 864 #2,4,8,20,835,22,178,200,
330,2020-06-28,1,kauaiensis,24525-1 x 6a #6,membranacea,864 #2,kaua 24525-1 x 6a #6 x memb 864 #2,3,3,20,893,39,161,200,
331,2020-02-13,5,kauaiensis ,24525-1 x 6a #6,verticillata,NTBG-24,kaua 24525-1 x 6a #6 x NTBG-24,2,5,20,320,5,195,200,
332,2020-02-28,5,kauaiensis ,24525-1 x 6a #6,verticillata,NTBG-24,kaua 24525-1 x 6a #6 x NTBG-24,7,4,20,406,19,181,200,
333,2020-03-09,5,kauaiensis,24525-1 x 6a #6,verticillata,NTBG-24,kaua 24525-1 x 6a #6 x NTBG-24,10,3,20,477,93,107,200,
334,2020-03-09,6,kauaiensis,24525-1 x 6a #6,verticillata,NTBG-24,kaua 24525-1 x 6a #6 x NTBG-24,5,3,20,478,79,121,200,
335,2020-03-12,5,kauaiensis,24525-1 x 6a #6,verticillata,NTBG 24,kaua 24525-1 x 6a #6 x NTBG-24,6,4,20,497,89,111,200,
336,2020-03-12,6,kauaiensis,24525-1 x 6a #6,verticillata,NTBG 24,kaua 24525-1 x 6a #6 x NTBG-24,1,7,20,498,69,131,200,
337,2020-05-12,7,lychnoides,867-12 #108,viscosa,5031,lych 867-12 #108 x visc 5031,9,6,20,811,182,18,200,
338,2020-05-12,8,lychnoides,867-12 #108,viscosa,5031,lych 867-12 #108 x visc 5031,18,3,20,812,184,16,200,
339,2020-05-12,9,lychnoides,867-12 #108,viscosa,5031,lych 867-12 #108 x visc 5031,2,3,20,813,192,9,201,
340,2020-05-12,10,lychnoides,867-12 #108,viscosa,5031,lych 867-12 #108 x visc 5031,19,5,20,814,176,24,200,
341,2020-05-12,11,lychnoides,867-12 #108,viscosa,5031,lych 867-12 #108 x visc 5031,3,3,20,815,190,10,200,
342,2020-04-14,12,lychnoides,867-2 2015 #101,viscosa,5031C #100,lych 867-2 2015 #101 x visc 5031C #100,8,3,20,721,91,109,200,
343,2020-04-23,8,lychnoides,867-2 2015 #101,viscosa,5031C #100,lych 867-2 2015 #101 x visc 5031C #100,15,5,20,757,132,68,200,
344,2020-04-23,9,lychnoides,867-2 2015 #101,viscosa,5031C #100,lych 867-2 2015 #101 x visc 5031C #100,19,4,20,758,184,16,200,
345,2020-04-23,10,lychnoides,867-2 2015 #101,viscosa,5031C #100,lych 867-2 2015 #101 x visc 5031C #100,10,4,20,759,166,34,200,
346,2020-04-27,6,lychnoides,867-2 2015 #101,viscosa,5031C #100,lych 867-2 2015 #101 x visc 5031C #100,20,4,20,770,13,64,77,
347,2020-05-12,5,lychnoides,867-25 #105,obovata,897-8 pot 1,lych 867-25 #105 x obov 897-8 pot 1,2,5,20,809,87,113,200,
348,2020-05-16,5,lychnoides,867-25 #105,obovata,897-8 pot 1,lych 867-25 #105 x obov 897-8 pot 1,7,5,20,833,75,105,180,
349,2020-05-21,5,lychnoides,867-25 #105,obovata,897-8 pot 1,lych 867-25 #105 x obov 897-8 pot 1,3,3,20,842,108,92,200,
350,2020-05-26,1,lychnoides,867-25 #105,obovata,897-8 pot 1,lych 867-25 #105 x obov 897-8 pot 1,10,5,20,851,57,143,200,
351,2020-05-26,2,lychnoides,867-25 #105,obovata,897-8 pot 1,lych 867-25 #105 x obov 897-8 pot 1,9,5,20,852,91,109,200,
352,2020-05-26,3,lychnoides,867-25 #105,obovata,897-8 pot 1,lych 867-25 #105 x obov 897-8 pot 1,1,5,20,853,97,103,200,
353,2020-06-22,1,lychnoides,867-29 #108,obovata ,897-8,lych 867-29 # 108 x obov 897-8,10,6,20,878,108,92,200,
354,2020-06-22,2,lychnoides,867-29 #108,obovata ,897-8,lych 867-29 # 108 x obov 897-8,13,5,20,879,91,109,200,
355,2020-06-22,3,lychnoides,867-29 #108,obovata ,897-8,lych 867-29 # 108 x obov 897-8,19,6,20,880,111,89,200,
356,2020-06-26,1,lychnoides,876-29 #108 ,obovata,897-8,lych 867-29 # 108 x obov 897-8,18,5,20,890,120,80,200,
357,2020-06-26,2,lychnoides,876-29 #108 ,obovata,897-8,lych 867-29 # 108 x obov 897-8,20,6,20,891,106,94,200,
358,2020-06-22,5,lychnoides,867-29 #108,obovata ,894-2,lych 867-29 #108 x obov 894-2,14,5,20,882,93,107,200,
359,2020-06-22,6,lychnoides,867-29 #108,obovata ,894-2,lych 867-29 #108 x obov 894-2,3,6,20,883,99,101,200,
360,2020-06-22,7,lychnoides,867-29 #108,obovata ,894-2,lych 867-29 #108 x obov 894-2,6,5,20,884,100,100,200,
361,2020-06-22,8,lychnoides,867-29 #108,obovata ,894-2,lych 867-29 #108 x obov 894-2,7,5,20,885,101,99,200,
362,2020-06-26,3,lychnoides,876-29 #108 ,obovata,892-2,lych 867-29 #108 x obov 894-2,1,6,20,892,100,100,200,
363,2019-10-22,7,lydgatei,6682 204-1,sarmentosa ,896 12-2,lydg 6682 204-1 x sarm 896 12-2,16,3,20,54,195,5,200,
364,2020-04-02,1,lydgatei,6682 204-1,sarmentosa,896 12-2,lydg 6682 204-1 x sarm 896 12-2,7,3,20,655,181,19,200,
365,2019-12-04,5,lydgatei,6682 204-1,sarmentosa ,896 12-2,lydg 6682 204-1 x sarm 896 12-2 ,15,4,20,88,193,7,200,
366,2019-12-09,4,lydgatei,6682 204-1,sarmentosa ,896 12-2,lydg 6682 204-1 x sarm 896 12-2 ,13,7,20,107,187,13,200,
367,2019-12-19,4,lydgatei,6682 204-1,sarmentosa ,896 12-2,lydg 6682 204-1 x sarm 896 12-2 ,2,3,20,126,197,3,200,
368,2019-12-19,5,lydgatei,6682 204-1,sarmentosa ,896 12-2,lydg 6682 204-1 x sarm 896 12-2 ,10,6,20,131,189,11,200,F1 generation 
369,2020-03-01,5,lydgatei,6682 204-1,sarmentosa ,896 14-3,lydg 6682 204-1 x sarm 896 14-3,17,3,20,419,185,15,200,
370,2020-03-25,1,lydgatei,6682 204-1,sarmentosa,896 14-3,lydg 6682 204-1 x sarm 896 14-3,14,5,20,596,185,15,200,
371,2020-03-28,1,lydgatei,6682 204-1,sarmentosa,896 14-3,lydg 6682 204-1 x sarm 896 14-3,13,6,20,626,189,11,200,
372,2020-03-28,2,lydgatei,6682 204-1,sarmentosa,896 14-3,lydg 6682 204-1 x sarm 896 14-3,15,7,20,627,153,47,200,
373,2020-03-28,3,lydgatei,6682 204-1,sarmentosa,896 14-3,lydg 6682 204-1 x sarm 896 14-3,10,5,20,628,185,15,200,
374,2019-10-13,5,lydgatei,6682 209-2,sarmentosa,896 107-1-6,lydg 6682 209-2 x sarm 896 107-1-6,3,7,20,36,185,15,200,
375,2019-11-30,5,lydgatei,6682 209-2,sarmentosa ,896 107-1-6,lydg 6682 209-2 x sarm 896 107-1-6,15,6,20,80,177,23,200,
376,2019-10-10,5,lydgatei,6682 209-2,sarmentosa,896 107-1-6,lydg 6682 209-2 x sarm 896 107-1-6 ,9,4,20,27,183,17,200,
377,2019-10-22,4,lydgatei,6682 209-2,sarmentosa ,896 107-1-6,lydg 6682 209-2 x sarm 896 107-1-6 ,4,7,20,51,187,13,200,
378,2019-10-22,5,lydgatei,6682 209-2,sarmentosa ,896 107-1-6,lydg 6682 209-2 x sarm 896 107-1-6 ,7,5,20,52,178,22,200,
379,2019-10-10,2,lydgatei,6682 209-2,sarmentosa,896 12-2,lydg 6682 209-2 x sarm 896 12-2 ,12,5,20,24,66,134,200,
380,2019-10-11,2,lydgatei,6682 209-2,sarmentosa,896 12-2,lydg 6682 209-2 x sarm 896 12-2 ,8,3,20,29,122,78,200,
381,2019-10-13,2,lydgatei,6682 209-2,sarmentosa,896 12-2,lydg 6682 209-2 x sarm 896 12-2 ,15,4,20,33,91,109,200,same family
382,2019-10-13,3,lydgatei,6682 209-2,sarmentosa,896 12-2,lydg 6682 209-2 x sarm 896 12-2 ,14,6,20,34,192,8,200,same family^
383,2019-10-15,9,lydgatei,6682 209-2,sarmentosa,896 12-2,lydg 6682 209-2 x sarm 896 12-2 ,6,3,20,45,,,, #9 skipped JP total was 0
384,2019-10-15,10,lydgatei,6682 209-2,sarmentosa,896 12-2,lydg 6682 209-2 x sarm 896 12-2 ,4,5,20,46,188,12,200,Skip?
385,2020-03-26,6,lydgatei,6682 212-1,sarmentosa,896 11-6,lydg 6682 212-1 x sarm 896 11-6,13,7,20,613,196,4,200,
386,2020-03-26,7,lydgatei,6682 212-1,sarmentosa,896 11-6,lydg 6682 212-1 x sarm 896 11-6,9,8,20,614,197,3,200,
387,2019-12-08,4,lydgatei,6682 212-1,sarmentosa ,896 11-6,lydg 6682 212-1 x sarm 896 11-6 ,10,5,20,103,190,10,200,
388,2019-12-09,5,lydgatei,6682 212-1,sarmentosa ,896 11-6,lydg 6682 212-1 x sarm 896 11-6 ,4,3,20,108,194,6,200,
389,2019-12-09,6,lydgatei,6682 212-1,sarmentosa ,896 11-6,lydg 6682 212-1 x sarm 896 11-6 ,8,3,20,109,170,30,200,
390,2020-03-25,8,lydgatei,6682 212-1,sarmentosa,896 12-2,lydg 6682 212-1 x sarm 896 12-2,14,6,20,603,190,10,200,
391,2020-03-25,9,lydgatei,6682 212-1,sarmentosa,896 12-2,lydg 6682 212-1 x sarm 896 12-2,3,6,20,604,183,17,200,
392,2020-04-01,3,lydgatei,6682 212-1,sarmentosa,896 12-2,lydg 6682 212-1 x sarm 896 12-2,12,6,20,649,194,6,200,
393,2020-04-01,4,lydgatei,6682 212-1,sarmentosa,896 12-2,lydg 6682 212-1 x sarm 896 12-2,1,4,20,650,184,16,200,
394,2020-04-02,2,lydgatei,6682 212-1,sarmentosa,896 12-2,lydg 6682 212-1 x sarm 896 12-2,8,4,20,656,192,8,200,
395,2020-03-28,5,lydgatei,6682 217-1,sarmentosa,896 11-6,lydg 6682 217-1 x sarm 896 11-6,3,3,20,630,171,29,200,
396,2020-03-30,1,lydgatei,6682 217-1,sarmentosa,896 11-6,lydg 6682 217-1 x sarm 896 11-6,12,7,20,646,187,13,200,
397,2020-04-01,7,lydgatei,6682 217-1,sarmentosa,896 11-6,lydg 6682 217-1 x sarm 896 11-6,11,3,20,653,192,8,200,
398,2020-04-01,8,lydgatei,6682 217-1,sarmentosa,896 11-6,lydg 6682 217-1 x sarm 896 11-6,9,7,20,654,186,14,200,
399,2020-04-05,1,lydgatei,6682 217-1 ,sarmentosa,896 11-6,lydg 6682 217-1 x sarm 896 11-6,10,5,20,667,197,3,200,
400,2020-02-10,2,lydgatei,6682 223-1,sarmentosa ,896 107-1-6,lydg 6682 223-1 x sarm 896 107-1-6,8,6,20,281,195,5,200,
401,2020-02-10,5,lydgatei,6682 223-1,sarmentosa ,896 107-1-6 ,lydg 6682 223-1 x sarm 896 107-1-6,11,3,20,284,197,3,200,
402,2020-02-11,8,lydgatei,6682 223-1,sarmentosa ,896 107-1-6,lydg 6682 223-1 x sarm 896 107-1-6 ,5,5,20,293,196,4,200,
403,2020-02-11,9,lydgatei,6682 223-1,sarmentosa ,896 107-1-6,lydg 6682 223-1 x sarm 896 107-1-6 ,13,5,20,294,174,26,200,
404,2020-02-11,10,lydgatei,6682 223-1,sarmentosa ,896 107-1-6,lydg 6682 223-1 x sarm 896 107-1-6 ,6,6,20,295,197,3,200,
405,2020-03-25,6,lydgatei,6682 223-1,sarmentosa,896 12-2,lydg 6682 223-1 x sarm 896 12-2,15,6,20,601,183,17,200,
406,2020-03-25,7,lydgatei,6682 223-1,sarmentosa,896 12-2,lydg 6682 223-1 x sarm 896 12-2,10,4,20,602,182,18,200,recollect if possible
407,2020-03-28,6,lydgatei,6682 223-1,sarmentosa,896 12-2,lydg 6682 223-1 x sarm 896 12-2,9,5,20,631,159,41,200,
408,2020-02-21,1,lydgatei,6682 223-1,sarmentosa,896 12-2,lydg 6682 223-1 x sarm 896 12-2,3,5,20,925,195,5,200,Fion
409,2020-02-21,2,lydgatei,6682 223-1,sarmentosa,896 12-2,lydg 6682 223-1 x sarm 896 12-2,1,4,20,926,194,6,200,Fion
