line	date_planted	code	type	momsp	momid	dadsp1	dadid1	dadsp2	dadid2	plate	planted	germinated	date_scored	germinated_n1	transplanted_n	germinated_ndate1	germinated_ndate2	germinated_ndate3	germinated_ndate4	germinated_ndate5	germinated_ndate6	notes
207	2020-09-30	HK12	mixed	hook	866-2	hook	794-2	kaal	892-4	6	20	20	2020-10-17	16	6	4 (11/9)	12 (11/9)	Discard				
208	2020-09-30	HK12	mixed	hook	866-2	hook	794-2	kaal	892-4	7	20	18	2020-10-17	17	13	1 (12/18)	Discard					
209	2020-09-30	HK12	mixed	hook	866-2	hook	794-2	kaal	892-4	8	20	19	2020-10-22	19	17 (2c)	Discard						
210	2020-09-30	HK12	mixed	hook	866-2	hook	794-2	kaal	892-4	9	20	20	2020-10-22	20	20	Discard						
211	2020-09-30	HK12	mixed	hook	866-2	hook	794-2	kaal	892-4	10	20	18	2020-10-22	17	16 (1c)	Discard	2 plants in pot					
212	2020-10-05	StSp-1	mixed	stell	1476514B2	stell	147656GC2	sperg	120289-5	1	20	12	2020-11-04	9	8	3 (11/14)	11 (11/14)	0 (12/1)	Discard			
213	2020-10-05	StSp-1	mixed	stell	1476514B2	stell	147656GC2	sperg	120289-5	2	20	5	2020-11-04	3	1	2 (11/14)	3 (11/14)	1 (12/4)	2 (12/4)	Discard		
214	2020-10-05	StSp-1	mixed	stell	1476514B2	stell	147656GC2	sperg	120289-5	3	20	9	2020-11-04	7	6	2 (11/14)	3 (11/14)	0 (12/1)	Discard			
215	2020-10-05	StSp-1	mixed	stell	1476514B2	stell	147656GC2	sperg	120289-5	4	20	12	2020-11-04	10	10	2 (11/14)	2 (11/14)	0 (12/1)	Discard			
216	2020-10-05	StSp-1	mixed	stell	1476514B2	stell	147656GC2	sperg	120289-5	5	20	8	2020-11-04	5	4	3 (11/14)	3 (11/14)	1 (12/4)	2 (12/4)	Discard		
217	2020-10-05	StSp-1	mixed	stell	1476514B2	stell	147656GC2	sperg	120289-5	6	20	12	2020-11-04	12	11	0 (11/14)	1 (11/14)	0 (12/1)	Discard			
218	2020-10-05	StSp-1	mixed	stell	1476514B2	stell	147656GC2	sperg	120289-5	7	13	4	2020-11-04	0	0	4 (11/14)	0 (11/14)	Discard				
219	2020-10-05	StSp-2	mixed	stell	147654E	stell	1476518E	sperg	120289-8	1	20	20	2020-10-23	12	11	8 (10/28)	6 (10/28)	2 plants in pot	1 (11/9)	Discard		
220	2020-10-05	StSp-2	mixed	stell	147654E	stell	1476518E	sperg	120289-8	2	20	17	2020-10-23	8	4	13 (10/28)	10 (10/28)		3 (11/9)	Discard		
221	2020-10-05	StSp-2	mixed	stell	147654E	stell	1476518E	sperg	120289-8	3	20	19	2020-10-23	18	15	4 (10/28)	4 (10/28)		1 (11/11)	Discard		
222	2020-10-05	StSp-2	mixed	stell	147654E	stell	1476518E	sperg	120289-8	4	20	17	2020-10-23	17	16	1 (10/28)	0 (10/28)		1 (11/9)	Discard		
224	2020-10-05	StSp-3	mixed	stell	1476510C	stell	1476514BG	sperg	120294-8	1	20	18	2020-10-30	12	5	4 (11/4)	10 (11/4)	0 (11/10)	0 (11/10)	2 (11/20)	3 (11/20)	
225	2020-10-05	StSp-3	mixed	stell	1476510C	stell	1476514BG	sperg	120294-8	2	20	13	2020-10-30	8	4	5 (11/4)	7 (11/4)	0 (11/10)	2 (11/10)	0 (11/20)	0 (11/20)	
226	2020-10-05	StSp-3	mixed	stell	1476510C	stell	1476514BG	sperg	120294-8	3	20	18	2020-10-30	9	5	5 (11/4)	6 (11/4)	2 (11/10)	3 (11/10)	2 (11/20)	2 (11/20)	
227	2020-10-05	StSp-3	mixed	stell	1476510C	stell	1476514BG	sperg	120294-8	4	20	19	2020-10-30	10	9	4 (11/4)	2 (11/4)	2 (11/10)	2 (11/10)	3 (11/20)	4 (11/20)	
228	2020-10-05	StSp-3	mixed	stell	1476510C	stell	1476514BG	sperg	120294-8	5	20	17	2020-10-30	12	8	3 (11/4)	7 (11/4)	1 (11/10)	0 (11/10)	1 (11/20)	1 (11/20)	
229	2020-10-05	StSp-3	mixed	stell	1476510C	stell	1476514BG	sperg	120294-8	6	4	4	2020-10-30	0	0	2 (11/4)	0 (11/4)	1 (11/10)	2 (11/10)	1 (11/20)	1 (11/20)	
230	2020-10-06	HK13	mixed	hook	879N-5	hook	87910-1	kaal	115-2	1	20	19	2020-10-28	13	9 (4c)	2 plants in pot		5 (11/16)	8 (11/16)	Discard		
231	2020-10-06	HK13	mixed	hook	879N-5	hook	87910-1	kaal	115-2	2	20	17	2020-10-28	12	10 (2c)	2 plants in pot		4 (11/16)	5 (11/16)	0 (12/1)	Discard	
232	2020-10-06	HK13	mixed	hook	879N-5	hook	87910-1	kaal	115-2	3	20	16	2020-11-08	13	12 (1c)	2 (11/16)	3 (11/16)	1 (12/1)	Discard			
233	2020-10-06	HK13	mixed	hook	879N-5	hook	87910-1	kaal	115-2	4	20	18	2020-11-08	15	14 (1c)	3 (12/18)	2 (2/18)	Discard				
234	2020-10-06	HK13	mixed	hook	879N-5	hook	87910-1	kaal	115-2	5	20	16	2020-10-28	14	12 (2c)	2 (11/16)	2 (11/16)	Discard				
235	2020-10-06	HK13	mixed	hook	879N-5	hook	87910-1	kaal	115-2	6	20	16	2020-10-28	14	14	2 (12/18)	1 (12/18)	Discard				
236	2020-10-06	HK13	mixed	hook	879N-5	hook	87910-1	kaal	115-2	7	20	16	2020-11-08	9	5 (4c)	5 (11/16)	8 (11/16)	2 (12/1)	Discard			
237	2020-10-06	HK13	mixed	hook	879N-5	hook	87910-1	kaal	115-2	8	20	16	2020-11-08	13	10 (3c)	3 (11/16)	5 (11/16)	0 (12/1)	Discard			
238	2020-10-06	HK13	mixed	hook	879N-5	hook	87910-1	kaal	115-2	9	20	16	2020-10-28	13	10 (3c)	2 plants in pot		2 (11/16)	5 (11/16)	0 (12/1)	Discard	
239	2020-10-06	HK13	mixed	hook	879N-5	hook	87910-1	kaal	115-2	10	20	18	2020-11-08	17	15 (2c)	1 (12/18)	3 (12/18)	Discard				
240	2020-10-06	HK14	mixed	hook	87910-1	hook	892-5	kaal	879N-5	1	20	11	2020-11-08	11	10 (1c)	0 (11/23)	1 (11/23)	0 (12/18)	Discard			
241	2020-10-06	HK14	mixed	hook	87910-1	hook	892-5	kaal	879N-5	2	20	11	2020-11-08	9	5 (4c)	0 (11/23)	2 (11/23)	2 (12/18)	2 (12/18)	Discard		
242	2020-10-06	HK14	mixed	hook	87910-1	hook	892-5	kaal	879N-5	3	20	14	2020-11-08	13	11 (2c)	0 (11/23)	2 (11/23)	1 (12/18)	1 (12/18)	Discard		
243	2020-10-06	HK14	mixed	hook	87910-1	hook	892-5	kaal	879N-5	4	20	13	2020-11-08	10	10	2 (11/23)	2 (11/23)	1 (12/18)	1 (12/18)	Discard		
244	2020-10-06	HK14	mixed	hook	87910-1	hook	892-5	kaal	879N-5	5	20	14	2020-11-08	8	7	4 (11/23)	5 (11/23)	2 (12/18)	2 (12/18)	Discard		
245	2020-10-06	HK14	mixed	hook	87910-1	hook	892-5	kaal	879N-5	6	20	15	2020-11-08	9	7	3 (11/23)	3 (11/23)	3 (12/18)	5 (12/18)	Discard		
246	2020-10-06	HK14	mixed	hook	87910-1	hook	892-5	kaal	879N-5	7	20	14	2020-11-08	12	10	1 (11/23)	2 (11/23)	1 (12/18)	2 (12/18)	Discard		
247	2020-10-06	HK14	mixed	hook	87910-1	hook	892-5	kaal	879N-5	8	8	8	2020-11-08	5	4	2 (11/23)	3 (11/23)	1 (12/18)	1 (12/18)	Discard		
248	2020-10-06	KH15	mixed	kaal	892-3	kaal	115-2	hook	879H-2	1	20	15	2020-10-28	10	9 (1c)	5 (11/4)	6 (11/4)	0 (12/1)	Discard			
249	2020-10-06	KH15	mixed	kaal	892-3	kaal	115-2	hook	879H-2	2	20	18	2020-10-27	13	9 (4c)	4 (11/4)	7 (11/4)	1 (11/8)	1 (11/8)	0 (11/16)	1 (11/16)	
250	2020-10-06	KH15	mixed	kaal	892-3	kaal	115-2	hook	879H-2	3	20	17	2020-10-27	17	16 (1c)	0 (11/4)	1 (11/4)	0 (12/1)	Discard			
251	2020-10-06	KH15	mixed	kaal	892-3	kaal	115-2	hook	879H-2	4	20	18	2020-10-28	13	9 (4c)	5 (11/4)	0 (11/4)	0 (11/16)	3 (11/16)	Discard		
252	2020-10-06	KH15	mixed	kaal	892-3	kaal	115-2	hook	879H-2	5	20	14	2020-11-04	9	8 (1c)	3 (11/16)	4 (11/16)	2 (12/7)	2 (12/7)	Discard		
253	2020-10-06	KH15	mixed	kaal	892-3	kaal	115-2	hook	879H-2	6	10	3	2020-11-04	1	1	2 (11/16)	1 (11/16)	0 (12/7)	1 (12/7)	Discard		
254	2020-01-30	KH3	mixed	kaal	115-2	kaal	892-4	hook	879H-2	1	20	13	2020-02-26	13								
	2020-01-30	KH3	mixed	kaal	115-2	kaal	892-4	hook	879H-2	2	20	15	2020-02-26	15								
255	2020-10-10	SpSt4	mixed	sperg	120289-11	stell	10C-C2	sperg	120289-13	1	20		2020-10-31	17	13	1 (11/6)	5 (11/6)	0 (11/11)	Discard			JP: removed due to contamination, was germinated=18
256	2020-10-10	SpSt4	mixed	sperg	120289-11	stell	10C-C2	sperg	120289-13	2	20		2020-10-31	13	8	5 (11/6)	10 (11/6)	0 (11/11)	Discard			JP: removed due to contamination, was germinated=18
257	2020-10-10	SpSt4	mixed	sperg	120289-11	stell	10C-C2	sperg	120289-13	3	20		2020-10-31	14	8	4 (11/6)	10 (11/6)	0 (11/11)	Discard			JP: removed due to contamination, was germinated=18
258	2020-10-10	SpSt4	mixed	sperg	120289-11	stell	10C-C2	sperg	120289-13	4	20		2020-10-31	15	8	4 (11/6)	10 (11/6)	1 (11/11)	Discard			JP: removed due to contamination, was germinated=20
259	2020-10-10	SpSt4	mixed	sperg	120289-11	stell	10C-C2	sperg	120289-13	5	20		2020-10-31	10	7	8 (11/6)	11 (11/6)	0 (11/11)	Discard			JP: removed due to contamination, was germinated=18
303	2020-11-14	SpSt4	mixed	sperg	120289-11	stell	10C-C2	sperg	120289-13	6	20		2020-11-29	7	6	11 (12/4)	12 (12/4)	Discard				JP: removed due to contamination, was germinated=18
304	2020-11-14	SpSt4	mixed	sperg	120289-11	stell	10C-C2	sperg	120289-13	7	20		2020-11-29	12	6	5 (12/4)	11 (12/4)	Discard				JP: removed due to contamination, was germinated=17
305	2020-11-14	SpSt4	mixed	sperg	120289-11	stell	10C-C2	sperg	120289-13	8	20		2020-11-29	15	14	3 (12/4)	4 (12/4)	Discard				JP: removed due to contamination, was germinated=18
306	2020-11-14	SpSt4	mixed	sperg	120289-11	stell	10C-C2	sperg	120289-13	9	20		2020-11-29	20	20	0 (12/4)	0 (12/4)	Discard				JP: removed due to contamination, was germinated=20
307	2020-11-14	SpSt4	mixed	sperg	120289-11	stell	10C-C2	sperg	120289-13	10	20		2020-11-29	13	12	5 (12/4)	6 (12/4)	Discard				JP: removed due to contamination, was germinated=18
260	2020-10-10	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	1	20	15	2020-10-24	7	7	8 (10/28)	6 (10/28)	0 (11/11)	Discard			
261	2020-10-10	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	2	20	17	2020-10-24	14	13	3 (10/28)	2 (10/28)	0 (11/11)	Discard			
262	2020-10-10	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	3	20	12	2020-10-24	8	6	6 (10/28)	5 (10/28)	0 (11/11)	1 (11/11)	Discard		
278	2020-10-10	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	4	20	20	2020-10-24	13	5	13 (10/28)	13 (10/28)	2 (11/11)	Discard			
279	2020-10-10	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	5	20	19	2020-10-24	10	6	9 (10/28)	9 (10/28)	4 (11/11)	4 (11/11)	Discard		
308	2020-11-14	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	6	20	19	2020-11-24	16	16	3 (12/4)	3 (12/4)	Discard				
309	2020-11-14	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	7	20	20	2020-11-24	10	9	10 (12/4)	11 (12/4)	Discard				
310	2020-11-14	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	8	20	16	2020-11-24	15	15	1 (12/4)	1 (12/4)	Discard				
311	2020-11-14	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	9	20	20	2020-11-24	19	15	1 (12/4)	5 (12/4)	Discard				
312	2020-11-14	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	10	20	19	2020-11-24	12	12	7 (12/4)	7 (12/4)	Discard				
263	2020-10-10	SpS 6	mixed	sperg	120294-7	stell	1476514B2	sperg	120289-12	1	20	18	2020-10-30	11	10	6 (11/14)	7 (11/14)	1 (12/4)	1 (12/4)			
264	2020-10-10	SpS 6	mixed	sperg	120294-7	stell	1476514B2	sperg	120289-12	2	20	19	2020-10-30	16	14	3 (11/14)	5 (11/14)	0 (12/1)	Discard			
265	2020-10-10	SpS 6	mixed	sperg	120294-7	stell	1476514B2	sperg	120289-12	3	20	20	2020-10-30	12	11	8 (11/14)	9 (11/14)	0 (12/1)	Discard			
266	2020-10-10	SpS 6	mixed	sperg	120294-7	stell	1476514B2	sperg	120289-12	4	20	19	2020-10-30	15	13	4 (11/14)	6 (11/14)	0 (12/1)	Discard			
267	2020-10-10	SpS 6	mixed	sperg	120294-7	stell	1476514B2	sperg	120289-12	5	20	19	2020-10-30	10	0	9 (11/14)	19 (11/14)	0 (12/1)	Discard			
313	2020-11-14	SpS 6	mixed	sperg	120294-7	stell	1476514B2	sperg	120289-12	6	20	14	2020-11-26	11	9	3 (12/16)	5 (12/16)	Discard				
314	2020-11-14	SpS 6	mixed	sperg	120294-7	stell	1476514B2	sperg	120289-12	7	20	17	2020-11-26	17	15	0 (12/16)	2 (12/16)	Discard				
315	2020-11-14	SpS 6	mixed	sperg	120294-7	stell	1476514B2	sperg	120289-12	8	20	18	2020-11-26	17	16	1 (12/16)	2 (12/16)	Discard				
316	2020-11-14	SpS 6	mixed	sperg	120294-7	stell	1476514B2	sperg	120289-12	9	20	16	2020-11-26	16	14	0 (12/16)	2 (12/16)	Discard				
317	2020-11-14	SpS 6	mixed	sperg	120294-7	stell	1476514B2	sperg	120289-12	10	20	15	2020-11-26	12	12	3 (12/16)	3 (12/16)	Discard				
268	2020-10-10	SpSt7	mixed	sperg	120298-4	stell	1476520J6	sperg	120294-8	1	20	14	2020-11-11	14	10	0 (12/4)	3 (12/4)	Discard				
269	2020-10-10	SpSt7	mixed	sperg	120298-4	stell	1476520J6	sperg	120294-8	2	20	11	2020-11-11	11	4	0 (12/4)	7 (12/4)	Discard				
270	2020-10-10	SpSt7	mixed	sperg	120298-4	stell	1476520J6	sperg	120294-8	3	20	12	2020-11-11	12	11	0 (12/4)	1 (12/4)	Discard				
271	2020-10-10	SpSt7	mixed	sperg	120298-4	stell	1476520J6	sperg	120294-8	4	20	4	2020-11-11	2	2	2 (12/4)	2 (12/4)	Discard				
272	2020-10-10	SpSt7	mixed	sperg	120298-4	stell	1476520J6	sperg	120294-8	5	20	12	2020-11-11	12	6	0 (12/4)	3 (12/4)	Discard				
318	2020-11-14	SpSt7	mixed	sperg	120298-4	stell	1476520J6	sperg	120294-8	6	20	3	2020-12-16	3	3	Discard						
319	2020-11-14	SpSt7	mixed	sperg	120298-4	stell	1476520J6	sperg	120294-8	7	20	2	2020-12-16	2	2	Discard						
320	2020-11-14	SpSt7	mixed	sperg	120298-4	stell	1476520J6	sperg	120294-8	8	20	1	2020-12-16	1	1	Discard						
321	2020-11-14	SpSt7	mixed	sperg	120298-4	stell	1476520J6	sperg	120294-8	9	20	0	2020-12-16	0	0	Discard						
322	2020-11-14	SpSt7	mixed	sperg	120298-4	stell	1476520J6	sperg	120294-8	10	20	5	2020-12-16	5	5	Discard						
273	2020-10-10	SpSt8	mixed	sperg	120294-1	stell	147656GC1	sperg	120289-12	1	20	18	2020-10-31	13	12	5 (12/4)	6 (12/4)	Discard				
274	2020-10-10	SpSt8	mixed	sperg	120294-1	stell	147656GC1	sperg	120289-12	2	20	20	2020-10-31	12	7	8 (12/4)	13 (12/4)	Discard				
275	2020-10-10	SpSt8	mixed	sperg	120294-1	stell	147656GC1	sperg	120289-12	3	20	16	2020-10-31	15	15	1 (12/4)	1 (12/4)	Discard				
276	2020-10-10	SpSt8	mixed	sperg	120294-1	stell	147656GC1	sperg	120289-12	4	20	19	2020-10-31	14	14	5 (12/4)	5 (12/4)	Discard				
277	2020-10-10	SpSt8	mixed	sperg	120294-1	stell	147656GC1	sperg	120289-12	5	20	17	2020-10-31	16	16	1 (12/4)	1 (12/4)	Discard				
323	2020-11-14	SpSt8	mixed	sperg	120294-1	stell	147656GC1	sperg	120289-12	6	20	16	2020-11-30	14	12	2 (12/16)	4 (12/16)	Discard				
324	2020-11-14	SpSt8	mixed	sperg	120294-1	stell	147656GC1	sperg	120289-12	7	20	19	2020-11-30	19	19	0 (12/16)	0 (12/16)	Discard				
325	2020-11-14	SpSt8	mixed	sperg	120294-1	stell	147656GC1	sperg	120289-12	8	20	12	2020-11-30	12	12	0 (12/16)	0 (12/16)	Discard				
326	2020-11-14	SpSt8	mixed	sperg	120294-1	stell	147656GC1	sperg	120289-12	9	20	14	2020-11-30	14	13	0 (12/16)	1 (12/16)	Discard				
327	2020-11-14	SpSt8	mixed	sperg	120294-1	stell	147656GC1	sperg	120289-12	10	20	14	2020-11-30	11	11	3 (12/16)	3 (12/16)	Discard				
260	2020-10-10	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	1	20	15	2020-10-24	7	7	8 (10/28)	6 (10/28)	0 (11/11)	Discard			
261	2020-10-10	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	2	20	17	2020-10-24	14	13	3 (10/28)	2 (10/28)	0 (11/11)	Discard			
262	2020-10-10	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	3	20	12	2020-10-24	8	6	6 (10/28)	5 (10/28)	0 (11/11)	1 (11/11)	Discard		
278	2020-10-10	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	4	20	20	2020-10-24	13	5	13 (10/28)	13 (10/28)	2 (11/11)	Discard			
279	2020-10-10	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	5	20	19	2020-10-24	10	6	9 (10/28)	9 (10/28)	4 (11/11)	4 (11/11)	Discard		
308	2020-11-14	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	6	20	19	2020-11-24	16	16	3 (12/4)	3 (12/4)	Discard				
309	2020-11-14	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	7	20	20	2020-11-24	10	9	10 (12/4)	11 (12/4)	Discard				
310	2020-11-14	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	8	20	16	2020-11-24	15	15	1 (12/4)	1 (12/4)	Discard				
311	2020-11-14	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	9	20	20	2020-11-24	19	15	1 (12/4)	5 (12/4)	Discard				
312	2020-11-14	SpSt5	mixed	sperg	120296-9	stell	1476514B2	sperg	120289-13	10	20	19	2020-11-24	12	12	7 (12/4)	7 (12/4)	Discard				
280	2020-10-10	StSp 9	mixed	stell	1476520J6	stell	1476514B2	sperg	120296-11	1	20	13	2020-11-04	8	5	2 (11/14)	5 (11/14)	2 (12/4)	2 (12/4)	Discard	2 plants	
281	2020-10-10	StSp 9	mixed	stell	1476520J6	stell	1476514B2	sperg	120296-11	2	18	14	2020-11-04	11	10	3 (11/14)	3 (11/14)	0 (12/4)	1 (12/4)	Discard		
282	2020-10-10	StSp 9	mixed	stell	1476520J6	stell	1476514B2	sperg	120296-11	3	13	3	2020-11-04	0	0	1 (11/14)	0 (11/14)	0 (12/4)	1 (12/4)	2 (12/16)	2 (12/16)	
283	2020-10-10	StSp 10	mixed	stell	1465110C-C2	stell	147656GC1	sperg	120289-12	1	20	15	2020-10-31	5	4	8 (11/6)	7 (11/6)	2 (11/14)	4 (11/14)	0 (12/4)	0 (12/4)	
284	2020-10-10	StSp 10	mixed	stell	1465110C-C2	stell	147656GC1	sperg	120289-12	2	20	15	2020-10-31	12	4	3 (11/6)	9 (11/6)	0 (11/14)	1 (11/14)	0 (12/4)	1 (12/4)	
285	2020-10-10	StSp 10	mixed	stell	1465110C-C2	stell	147656GC1	sperg	120289-12	3	20	17	2020-10-31	6	5	10 (11/6)	7 (11/6)	1 (11/14)	3 (11/14)	0 (12/4)	1 (12/4)	
286	2020-10-10	StSp 10	mixed	stell	1465110C-C2	stell	147656GC1	sperg	120289-12	4	20	14	2020-10-31	6	4	6 (11/6)	8 (11/6)	2 (11/14)	1 (11/14)	0 (12/4)	0 (12/4)	
287	2020-10-10	StSp 10	mixed	stell	1465110C-C2	stell	147656GC1	sperg	120289-12	5	14	10	2020-10-31	1	1	9 (11/6)	4 (11/6)	0 (11/14)	5 (11/14)	1 (12/4)	1 (12/4)	
288	2020-10-10	StSp 11	mixed	stell	1476514BG	stell	147659A-3	sperg	120296-11	1	20	14	2020-10-30	10	6	4 (11/10)	5 (11/10)	0 (12/4)	3 (12/4)	Discard		
289	2020-10-10	StSp 11	mixed	stell	1476514BG	stell	147659A-3	sperg	120296-11	2	20	15	2020-10-30	9	8	6 (11/10)	6 (11/10)	0 (12/4)	1 (12/4)	Discard		
328	2021-08-17	HK50	mixed	kaal	125-1	kaal	892-1	hook	879N-5	1	20	11	2021-09-09									
329	2021-08-17	HK50	mixed	kaal	125-1	kaal	892-1	hook	879N-5	2	20	4	2021-09-09									
330	2021-08-17	HK50	mixed	kaal	125-1	kaal	892-1	hook	879N-5	3	20	6	2021-09-09									
331	2021-08-17	HK50	mixed	kaal	125-1	kaal	892-1	hook	879N-5	4	20	4	2021-09-09									
332	2021-08-17	HK50	mixed	kaal	125-1	kaal	892-1	hook	879N-5	5	20	10	2021-09-09									
333	2021-08-17	HK50	mixed	kaal	125-1	kaal	892-1	hook	879N-5	6	20	4	2021-09-09									
334	2021-08-17	HK50	mixed	kaal	125-1	kaal	892-1	hook	879N-5	7	20	8	2021-09-09									
335	2021-08-17	HK51	mixed	kaal	116-2	kaal	116-3	hook	879N-5	1	20	16	2021-09-10									
336	2021-08-17	HK51	mixed	kaal	116-2	kaal	116-3	hook	879N-5	2	20	8	2021-09-10									
337	2021-08-17	HK51	mixed	kaal	116-2	kaal	116-3	hook	879N-5	3	20	14	2021-09-10									
338	2021-08-17	HK51	mixed	kaal	116-2	kaal	116-3	hook	879N-5	4	20	16	2021-09-10									
339	2021-08-17	HK51	mixed	kaal	116-2	kaal	116-3	hook	879N-5	5	20	10	2021-09-10									
340	2021-08-17	HK51	mixed	kaal	116-2	kaal	116-3	hook	879N-5	6	20	17	2021-09-10									
341	2021-08-17	HK51	mixed	kaal	116-2	kaal	116-3	hook	879N-5	7	20	13	2021-09-10									
342	2021-08-17	HK51	mixed	kaal	116-2	kaal	116-3	hook	879N-5	8	20	7	2021-09-10									
343	2021-08-17	HK51	mixed	kaal	116-2	kaal	116-3	hook	879N-5	9	10	6	2021-09-10									
344	2021-08-17	HK52	mixed	kaal	892-4	kaal	116-3	hook	8792-2	1	20	12	2021-09-10									
345	2021-08-17	HK52	mixed	kaal	892-4	kaal	116-3	hook	8792-2	2	20	16	2021-09-10									
346	2021-08-17	HK52	mixed	kaal	892-4	kaal	116-3	hook	8792-2	3	20	15	2021-09-10									
347	2021-08-17	HK52	mixed	kaal	892-4	kaal	116-3	hook	8792-2	4	20	15	2021-09-10									
348	2021-08-17	HK52	mixed	kaal	892-4	kaal	116-3	hook	8792-2	5	11	7	2021-09-10									
349	2021-08-17	HK53	mixed	kaal	892-4	kaal	116-3	hook	879N-5	1	20	14	2021-09-13									
350	2021-08-17	HK53	mixed	kaal	892-4	kaal	116-3	hook	879N-5	2	20	15	2021-09-13									
351	2021-08-17	HK53	mixed	kaal	892-4	kaal	116-3	hook	879N-5	3	20	11	2021-09-13									
352	2021-08-17	HK53	mixed	kaal	892-4	kaal	116-3	hook	879N-5	4	20	10	2021-09-13									
353	2021-08-17	HK53	mixed	kaal	892-4	kaal	116-3	hook	879N-5	5	17	5	2021-09-13									
354	2021-08-18	KM1	mixed	kaua	1a234-1#7	kaua	P2525-19	memb	864Cross6	1	20	14	2021-09-19									
355	2021-08-18	KM1	mixed	kaua	1a234-1#7	kaua	P2525-19	memb	864Cross6	2	20	8	2021-09-19									
356	2021-08-18	KM1	mixed	kaua	1a234-1#7	kaua	P2525-19	memb	864Cross6	3	20	10	2021-09-19									
357	2021-08-18	KM1	mixed	kaua	1a234-1#7	kaua	P2525-19	memb	864Cross6	4	20	12	2021-09-19									
358	2021-08-18	KM1	mixed	kaua	1a234-1#7	kaua	P2525-19	memb	864Cross6	5	20	7	2021-09-19									
359	2021-08-18	KM1	mixed	kaua	1a234-1#7	kaua	P2525-19	memb	864Cross6	6	20	13	2021-09-19									
360	2021-08-18	KM1	mixed	kaua	1a234-1#7	kaua	P2525-19	memb	864Cross6	7	20	10	2021-09-19									
361	2021-08-18	KM1	mixed	kaua	1a234-1#7	kaua	P2525-19	memb	864Cross6	8	20	9	2021-09-19									
362	2021-08-18	KM1	mixed	kaua	1a234-1#7	kaua	P2525-19	memb	864Cross6	9	20	13	2021-09-19									
363	2021-08-18	KM1	mixed	kaua	1a234-1#7	kaua	P2525-19	memb	864Cross6	10	20	9	2021-09-19									
364	2021-08-18	KM2	mixed	kaua	2a	kaua	1ax525-1#14	memb	864Cross6	1	20	13	2021-09-23									
365	2021-08-18	KM2	mixed	kaua	2a	kaua	1ax525-1#14	memb	864Cross6	2	20	9	2021-09-23									
366	2021-08-18	KM2	mixed	kaua	2a	kaua	1ax525-1#14	memb	864Cross6	3	20	9	2021-09-23									
367	2021-08-18	KM2	mixed	kaua	2a	kaua	1ax525-1#14	memb	864Cross6	4	20	12	2021-09-23									
368	2021-08-18	KM2	mixed	kaua	2a	kaua	1ax525-1#14	memb	864Cross6	5	20	14	2021-09-23									
369	2021-08-18	KM2	mixed	kaua	2a	kaua	1ax525-1#14	memb	864Cross6	6	20	9	2021-09-23									
370	2021-08-18	KM2	mixed	kaua	2a	kaua	1ax525-1#14	memb	864Cross6	7	20	12	2021-09-23									
371	2021-08-18	KM2	mixed	kaua	2a	kaua	1ax525-1#14	memb	864Cross6	8	20	10	2021-09-23									
372	2021-08-18	KM2	mixed	kaua	2a	kaua	1ax525-1#14	memb	864Cross6	9	20	8	2021-09-23									
373	2021-08-18	KM3	mixed	kaua	P2525-19	kaua	1a234-1#7	memb	864Cross6	1	20	17	2021-09-14									
374	2021-08-18	KM3	mixed	kaua	P2525-19	kaua	1a234-1#7	memb	864Cross6	2	20	16	2021-09-14									
375	2021-08-18	KM3	mixed	kaua	P2525-19	kaua	1a234-1#7	memb	864Cross6	3	20	12	2021-09-14									
376	2021-08-18	KM3	mixed	kaua	P2525-19	kaua	1a234-1#7	memb	864Cross6	4	20	6	2021-09-14									
377	2021-08-18	KM3	mixed	kaua	P2525-19	kaua	1a234-1#7	memb	864Cross6	5	11	6	2021-09-14									
378	2021-08-19	KM4	mixed	kaua	1a2341#14	kaua	P2525-19	memb	8645x9c-7	1	20	9	2021-09-20									
380	2021-08-19	KM4	mixed	kaua	1a2341#14	kaua	P2525-19	memb	8645x9c-7	3	20	13	2021-09-20									
